epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5148,1.25344,2.33364,1.48309,0.00629,0.9939,0.83975,0.61754,0.7989,2.35199,1.17951,0.000546086,0.000546086,0.000546086
2,20.5096,0.84648,1.17426,1.10225,0.86186,0.83215,0.90568,0.72352,0.75325,1.26211,1.17523,0.00109085,0.00109085,0.00109085
3,29.9692,0.7889,1.05413,1.05555,0.89865,0.97256,0.93025,0.77388,0.64989,0.88183,1.04815,0.0016246,0.0016246,0.0016246
4,39.3038,0.77599,1.00205,1.05262,0.89193,0.98354,0.93506,0.76347,0.66128,0.76479,1.08971,0.00161749,0.00161749,0.00161749
5,48.8495,0.76987,0.92824,1.03591,0.89893,0.97459,0.90755,0.7204,0.67499,0.81804,1.04127,0.00160099,0.00160099,0.00160099
6,58.1164,0.71946,0.90629,1.01389,0.86601,0.9878,0.92283,0.77089,0.58287,0.74198,0.99991,0.00158448,0.00158448,0.00158448
7,67.1594,0.70876,0.854,0.99677,0.88,0.99695,0.91917,0.77746,0.67542,0.76259,1.0585,0.00156798,0.00156798,0.00156798
8,76.6311,0.66253,0.77668,0.98355,0.85598,0.87286,0.90946,0.74372,0.63417,0.87893,0.98813,0.00155148,0.00155148,0.00155148
9,85.7807,0.64765,0.72333,0.97266,0.90341,0.97256,0.91524,0.74511,0.60694,0.67209,1.01549,0.00153497,0.00153497,0.00153497
10,94.8697,0.64533,0.70607,0.9709,0.85702,0.9878,0.90449,0.72833,0.67589,0.81273,1.03641,0.00151847,0.00151847,0.00151847
11,103.905,0.62654,0.69147,0.97303,0.89475,0.97866,0.94568,0.77585,0.68905,0.71961,1.03703,0.00150197,0.00150197,0.00150197
12,112.526,0.6281,0.68311,0.97005,0.86978,0.97774,0.90022,0.72007,0.6879,0.67094,1.03818,0.00148546,0.00148546,0.00148546
13,125.782,0.64064,0.66546,0.98033,0.88162,0.9939,0.92188,0.70603,0.79681,0.73942,1.11166,0.00146896,0.00146896,0.00146896
14,138.496,0.59383,0.62161,0.96088,0.87648,0.98171,0.91268,0.74706,0.63182,0.64695,0.99001,0.00145246,0.00145246,0.00145246
15,151.366,0.58635,0.61176,0.95067,0.87302,0.9939,0.90712,0.76345,0.61226,0.71135,1.01128,0.00143595,0.00143595,0.00143595
16,163.964,0.59869,0.60449,0.94359,0.88598,0.9939,0.92508,0.78384,0.59066,0.54417,1.04799,0.00141945,0.00141945,0.00141945
17,174.248,0.57129,0.5625,0.94995,0.88983,0.98684,0.90934,0.71603,0.72552,0.75552,1.07126,0.00140295,0.00140295,0.00140295
18,183.853,0.57926,0.57374,0.945,0.87399,1,0.93305,0.80956,0.52582,0.53872,0.94404,0.00138644,0.00138644,0.00138644
