epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,696.416,0.54596,0.38991,0.00523,0.85144,0.97242,0.89389,0.74508,0.65873,0.47521,0.01104,0.000990365,0.000990365,0.000990365
43,710.823,0.57677,0.38723,0.00552,0.87078,0.98601,0.89953,0.75794,0.65652,0.42688,0.01103,0.000973861,0.000973861,0.000973861
44,728.966,0.5381,0.36158,0.00524,0.86583,0.96848,0.91183,0.7483,0.65414,0.43705,0.00973,0.000957358,0.000957358,0.000957358
45,746.575,0.58248,0.38545,0.00594,0.85212,0.98476,0.90554,0.76867,0.58974,0.41779,0.01011,0.000940855,0.000940855,0.000940855
46,763.726,0.54339,0.37707,0.00561,0.88465,0.95464,0.90347,0.73576,0.70622,0.42971,0.0101,0.000924352,0.000924352,0.000924352
47,781.478,0.54777,0.36372,0.00525,0.88331,0.90333,0.91678,0.7405,0.63596,0.44522,0.00922,0.000907848,0.000907848,0.000907848
48,798.513,0.53085,0.34527,0.00511,0.86301,0.99497,0.92075,0.78017,0.62033,0.40919,0.00933,0.000891345,0.000891345,0.000891345
49,815.663,0.5765,0.37133,0.00545,0.86681,0.9994,0.92047,0.78246,0.643,0.37931,0.0108,0.000874842,0.000874842,0.000874842
50,833.344,0.54889,0.36916,0.00529,0.87426,0.99421,0.90199,0.76679,0.62406,0.41724,0.01054,0.000858338,0.000858338,0.000858338
51,853.398,0.57559,0.34689,0.00567,0.86923,0.99695,0.89937,0.74859,0.70479,0.46742,0.01351,0.000841835,0.000841835,0.000841835
52,865.766,0.56309,0.33869,0.00547,0.86576,0.99749,0.90269,0.7566,0.62088,0.39695,0.01011,0.000825332,0.000825332,0.000825332
53,877.869,0.51737,0.34436,0.00521,0.746,0.90549,0.89849,0.73339,0.61583,0.5309,0.00935,0.000808828,0.000808828,0.000808828
54,890.38,0.52644,0.3467,0.00524,0.88135,0.95915,0.91581,0.75482,0.61817,0.39253,0.00956,0.000792325,0.000792325,0.000792325
55,902.199,0.51662,0.34797,0.00489,0.87778,0.93231,0.94057,0.77528,0.63122,0.44163,0.01033,0.000775822,0.000775822,0.000775822
56,914.228,0.51257,0.33295,0.00501,0.8143,0.93942,0.92552,0.73346,0.64675,0.55884,0.01017,0.000759318,0.000759318,0.000759318
57,927.019,0.51014,0.32563,0.00471,0.86926,0.9878,0.91934,0.75468,0.69327,0.5133,0.01031,0.000742815,0.000742815,0.000742815
58,939.662,0.50265,0.33158,0.00474,0.8768,1,0.91247,0.79101,0.5574,0.39046,0.00862,0.000726312,0.000726312,0.000726312
59,953.206,0.50695,0.32087,0.00455,0.86737,0.93362,0.93712,0.77122,0.64117,0.55349,0.00897,0.000709809,0.000709809,0.000709809
60,969.35,0.51441,0.30171,0.00484,0.87847,0.94495,0.9322,0.76594,0.69612,0.43598,0.01059,0.000693305,0.000693305,0.000693305
61,987.969,0.49793,0.30482,0.0044,0.88838,0.99085,0.92198,0.80832,0.51565,0.35279,0.00788,0.000676802,0.000676802,0.000676802
62,1005.69,0.52915,0.30236,0.00489,0.87098,0.99452,0.91151,0.78133,0.6194,0.43619,0.00945,0.000660299,0.000660299,0.000660299
63,1023.57,0.52051,0.31453,0.00474,0.88078,0.9878,0.929,0.78584,0.68281,0.42152,0.00937,0.000643795,0.000643795,0.000643795
64,1042.38,0.50238,0.30775,0.00458,0.86872,0.99695,0.91605,0.78006,0.64893,0.40363,0.01011,0.000627292,0.000627292,0.000627292
65,1060.82,0.50833,0.30258,0.00479,0.86937,0.99409,0.92391,0.78909,0.56666,0.38686,0.00863,0.000610789,0.000610789,0.000610789
66,1080.95,0.48912,0.31741,0.00447,0.87258,0.99695,0.9072,0.79464,0.54806,0.39107,0.00809,0.000594286,0.000594286,0.000594286
67,1099.35,0.49122,0.29804,0.00462,0.87775,0.99106,0.91484,0.80635,0.5703,0.39253,0.00822,0.000577782,0.000577782,0.000577782
68,1117.19,0.49516,0.30292,0.00459,0.86031,0.93129,0.93486,0.76863,0.60192,0.41505,0.00814,0.000561279,0.000561279,0.000561279
69,1134.85,0.46815,0.30014,0.00406,0.87157,0.98476,0.90289,0.7809,0.56616,0.40173,0.00802,0.000544776,0.000544776,0.000544776
70,1152.87,0.47244,0.29613,0.00433,0.8739,0.94994,0.9072,0.78987,0.55189,0.44829,0.00892,0.000528272,0.000528272,0.000528272
71,1171.53,0.49879,0.3065,0.0044,0.87844,0.99554,0.91634,0.78509,0.63435,0.39558,0.01006,0.000511769,0.000511769,0.000511769
72,1189.34,0.47968,0.30983,0.00438,0.88517,0.99023,0.92174,0.78158,0.61606,0.37084,0.00817,0.000495266,0.000495266,0.000495266
73,1206.33,0.46783,0.28475,0.00421,0.88329,0.99433,0.90993,0.79787,0.55516,0.39737,0.00789,0.000478762,0.000478762,0.000478762
74,1217.76,0.45255,0.29064,0.00422,0.87941,0.99288,0.90306,0.77291,0.5972,0.384,0.00845,0.000462259,0.000462259,0.000462259
75,1229.25,0.46518,0.29993,0.00413,0.87085,0.97053,0.91202,0.77523,0.60994,0.40251,0.00935,0.000445756,0.000445756,0.000445756
