epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.098,1.18813,10.1386,0.01869,0.00628,1,0.31932,0.17909,1.21724,6.90349,0.03111,0.000546086,0.000546086,0.000546086
2,226.371,0.90158,7.99825,0.01202,0.68783,0.3137,0.46765,0.34284,0.746,4.77758,0.01487,0.0010963,0.0010963,0.0010963
3,352.578,0.87653,6.51367,0.01151,0.37227,0.69512,0.51908,0.35,0.88899,4.17171,0.02119,0.00164101,0.00164101,0.00164101
4,430.722,1.03945,5.74873,0.01576,0.54379,0.72866,0.6399,0.36988,1.03647,4.21376,0.02615,0.00164225,0.00164225,0.00164225
5,526.302,0.89418,4.76918,0.01218,0.51566,0.74749,0.64452,0.46466,0.96186,3.50688,0.02551,0.00163399,0.00163399,0.00163399
6,626.185,0.91057,4.09037,0.01282,0.53319,0.68858,0.65285,0.50369,0.80169,3.14452,0.01636,0.00162574,0.00162574,0.00162574
7,722.735,0.81572,3.49329,0.01053,0.64949,0.79573,0.75683,0.55545,1.02887,2.30844,0.02987,0.00161749,0.00161749,0.00161749
8,820.088,0.82577,3.02609,0.01033,0.64675,0.81845,0.80931,0.63457,0.79389,1.67709,0.01669,0.00160924,0.00160924,0.00160924
9,918,0.82849,2.70111,0.01066,0.57306,0.81707,0.81622,0.58948,0.75404,1.38494,0.01423,0.00160099,0.00160099,0.00160099
10,1022.8,0.81203,2.31582,0.00983,0.68896,0.75365,0.8349,0.69893,0.63507,1.16557,0.01303,0.00159274,0.00159274,0.00159274
11,1100.8,0.73933,2.07697,0.00911,0.71926,0.858,0.84734,0.70143,0.64797,0.90446,0.0122,0.00158448,0.00158448,0.00158448
12,1179.62,0.73159,1.84264,0.00919,0.78642,0.8811,0.87787,0.73534,0.65222,0.8042,0.01207,0.00157623,0.00157623,0.00157623
13,1259.87,0.77319,1.63851,0.00988,0.7526,0.85585,0.84917,0.64739,0.9619,0.70411,0.02474,0.00156798,0.00156798,0.00156798
14,1352.07,0.80593,1.48596,0.0105,0.73641,0.84146,0.82751,0.6325,0.96044,0.74358,0.01993,0.00155973,0.00155973,0.00155973
15,1431.26,0.76126,1.32549,0.00939,0.73304,0.84389,0.84588,0.6325,0.83441,0.80791,0.01361,0.00155148,0.00155148,0.00155148
16,1510.55,0.72513,1.22653,0.00846,0.7347,0.86727,0.85911,0.71336,0.68043,0.6654,0.01489,0.00154323,0.00154323,0.00154323
17,1587.71,0.71826,1.16632,0.0093,0.78767,0.8766,0.87226,0.65593,1.01349,0.67504,0.02262,0.00153497,0.00153497,0.00153497
18,1670.44,0.73705,1.10632,0.00897,0.82797,0.90068,0.89378,0.73447,0.6559,0.6432,0.01641,0.00152672,0.00152672,0.00152672
19,1754.61,0.71296,1.01273,0.00889,0.79074,0.88789,0.89834,0.72149,0.78913,0.65059,0.01409,0.00151847,0.00151847,0.00151847
20,1839.52,0.68288,0.94982,0.00757,0.82031,0.77968,0.88084,0.68332,0.79895,0.68214,0.02056,0.00151022,0.00151022,0.00151022
21,1925.04,0.66067,0.89237,0.00738,0.82574,0.91171,0.89697,0.76923,0.55791,0.59854,0.00948,0.00150197,0.00150197,0.00150197
22,2009.24,0.67111,0.84664,0.00774,0.89497,0.94512,0.91551,0.78512,0.58994,0.47606,0.01143,0.00149372,0.00149372,0.00149372
23,2094.01,0.66255,0.83035,0.0081,0.87069,0.8903,0.91891,0.72557,0.8933,0.57555,0.01801,0.00148546,0.00148546,0.00148546
24,2179.34,0.69327,0.8027,0.00791,0.81582,0.91768,0.88734,0.74667,0.61544,0.57367,0.01166,0.00147721,0.00147721,0.00147721
25,2267.18,0.66565,0.78138,0.00774,0.79903,0.87973,0.87624,0.71841,0.6981,0.6906,0.01427,0.00146896,0.00146896,0.00146896
26,2358.79,0.68771,0.7609,0.00861,0.72742,0.90722,0.88016,0.72744,0.72549,0.60296,0.01593,0.00146071,0.00146071,0.00146071
27,2440.29,0.6839,0.75407,0.00793,0.82226,0.94624,0.90203,0.7336,0.73156,0.52983,0.01303,0.00145246,0.00145246,0.00145246
28,2521.88,0.61846,0.67758,0.00697,0.81978,0.92683,0.89195,0.76646,0.60288,0.59549,0.0103,0.00144421,0.00144421,0.00144421
29,2608.28,0.62102,0.64268,0.00699,0.80433,0.94291,0.91094,0.79467,0.55307,0.5282,0.01151,0.00143595,0.00143595,0.00143595
30,2699.42,0.65203,0.6657,0.00756,0.85129,0.87164,0.9177,0.74039,0.74857,0.57228,0.01549,0.0014277,0.0014277,0.0014277
31,2788.4,0.6706,0.61924,0.00754,0.83479,0.92042,0.89334,0.70102,0.83107,0.55028,0.0219,0.00141945,0.00141945,0.00141945
32,2875.67,0.64677,0.59011,0.0072,0.89447,0.93659,0.94328,0.80261,0.60836,0.4072,0.01249,0.0014112,0.0014112,0.0014112
33,2971.61,0.59243,0.54854,0.00651,0.85505,0.92241,0.90662,0.75431,0.72832,0.54011,0.01519,0.00140295,0.00140295,0.00140295
34,3056.86,0.59389,0.56253,0.00605,0.86244,0.89939,0.90879,0.78514,0.59062,0.50988,0.01168,0.0013947,0.0013947,0.0013947
35,3140.33,0.58562,0.56326,0.00624,0.87632,0.95555,0.92845,0.77619,0.67677,0.46997,0.01234,0.00138644,0.00138644,0.00138644
36,3225.43,0.63732,0.55575,0.00772,0.87127,0.94967,0.94201,0.78581,0.69893,0.54818,0.01464,0.00137819,0.00137819,0.00137819
37,3313.41,0.63019,0.53961,0.00768,0.81736,0.94063,0.91166,0.7459,0.7025,0.53619,0.01213,0.00136994,0.00136994,0.00136994
38,3396.36,0.62522,0.55705,0.00696,0.86116,0.9691,0.92343,0.78406,0.68588,0.49502,0.01508,0.00136169,0.00136169,0.00136169
39,3481.29,0.62978,0.54472,0.00653,0.8609,0.95908,0.91107,0.75451,0.66526,0.52741,0.01477,0.00135344,0.00135344,0.00135344
40,3566.7,0.57631,0.50692,0.00642,0.88119,0.96626,0.92745,0.73043,0.85215,0.56706,0.014,0.00134519,0.00134519,0.00134519
41,3648.47,0.58199,0.51657,0.00615,0.86506,0.95089,0.91848,0.79118,0.54823,0.45633,0.00986,0.00133693,0.00133693,0.00133693
42,3731.28,0.59147,0.49443,0.00654,0.86708,0.92192,0.92223,0.7498,0.73808,0.5026,0.01237,0.00132868,0.00132868,0.00132868
43,3816.65,0.62752,0.51202,0.00718,0.81133,0.87965,0.89554,0.79122,0.53825,0.57805,0.00841,0.00132043,0.00132043,0.00132043
44,3902.22,0.61447,0.47858,0.00741,0.86134,0.95329,0.9156,0.71845,0.82454,0.55861,0.01585,0.00131218,0.00131218,0.00131218
45,3984.84,0.61982,0.50922,0.00696,0.86057,0.92683,0.91889,0.78253,0.62186,0.49254,0.01107,0.00130393,0.00130393,0.00130393
46,4068.86,0.60783,0.49314,0.00654,0.86255,0.95134,0.93376,0.77957,0.62993,0.45814,0.01095,0.00129568,0.00129568,0.00129568
47,4152.68,0.58682,0.48131,0.00587,0.83078,0.95427,0.90135,0.75152,0.62139,0.52906,0.01269,0.00128742,0.00128742,0.00128742
48,4239.16,0.56266,0.45019,0.00554,0.87007,0.96692,0.92974,0.80044,0.61097,0.48518,0.00972,0.00127917,0.00127917,0.00127917
49,4323.29,0.57249,0.45587,0.00574,0.89348,0.96646,0.92036,0.76422,0.72101,0.46273,0.01557,0.00127092,0.00127092,0.00127092
50,4409.13,0.59224,0.46579,0.0068,0.89142,0.97001,0.91868,0.76083,0.71304,0.47897,0.01274,0.00126267,0.00126267,0.00126267
51,4493.73,0.54172,0.44024,0.00543,0.85526,0.9725,0.93625,0.80909,0.6027,0.42067,0.01117,0.00125442,0.00125442,0.00125442
52,4579.2,0.58352,0.44024,0.00645,0.8823,0.97561,0.93238,0.8052,0.61009,0.49854,0.01077,0.00124617,0.00124617,0.00124617
53,4663.46,0.56097,0.41329,0.00629,0.85907,0.95874,0.91971,0.80574,0.51861,0.46635,0.00858,0.00123791,0.00123791,0.00123791
54,4747.17,0.5525,0.40288,0.00591,0.88201,0.96951,0.92955,0.7854,0.65564,0.47413,0.01054,0.00122966,0.00122966,0.00122966
55,4832.79,0.61363,0.41712,0.00629,0.87383,0.93618,0.9252,0.76862,0.71044,0.41889,0.01232,0.00122141,0.00122141,0.00122141
56,4915.42,0.60554,0.4193,0.00637,0.87695,0.95192,0.94212,0.81038,0.64717,0.44618,0.01039,0.00121316,0.00121316,0.00121316
57,4998.39,0.5791,0.4074,0.00669,0.85419,0.94207,0.93225,0.76981,0.71537,0.46071,0.01346,0.00120491,0.00120491,0.00120491
58,5083.14,0.57156,0.42531,0.00627,0.8897,0.96951,0.93839,0.82011,0.63309,0.41111,0.01089,0.00119666,0.00119666,0.00119666
59,5165.85,0.60463,0.42617,0.007,0.88275,0.96527,0.91325,0.80611,0.51161,0.45737,0.01004,0.0011884,0.0011884,0.0011884
60,5249.16,0.59282,0.39599,0.00643,0.88321,0.95122,0.9255,0.80164,0.56368,0.47533,0.00979,0.00118015,0.00118015,0.00118015
61,5333,0.56184,0.39017,0.00616,0.90468,0.96596,0.93861,0.79692,0.68233,0.45477,0.0142,0.0011719,0.0011719,0.0011719
62,5417.36,0.567,0.39299,0.00648,0.88076,0.96682,0.94324,0.79075,0.68807,0.4018,0.01321,0.00116365,0.00116365,0.00116365
63,5500.01,0.53613,0.38317,0.00562,0.89088,0.96435,0.93609,0.79539,0.71388,0.42415,0.01397,0.0011554,0.0011554,0.0011554
64,5585.94,0.5415,0.39064,0.0058,0.90878,0.94817,0.92944,0.83295,0.57707,0.40487,0.00973,0.00114715,0.00114715,0.00114715
65,5669.72,0.52534,0.35781,0.00542,0.88894,0.97062,0.92073,0.78425,0.69113,0.45987,0.01337,0.00113889,0.00113889,0.00113889
66,5754.13,0.5306,0.37985,0.00561,0.87876,0.95906,0.94996,0.80841,0.67635,0.40009,0.01187,0.00113064,0.00113064,0.00113064
67,5837.04,0.52538,0.37751,0.00545,0.88766,0.95553,0.91758,0.7747,0.6958,0.42751,0.01234,0.00112239,0.00112239,0.00112239
68,5921.43,0.53624,0.37502,0.00549,0.87889,0.96446,0.91747,0.79964,0.61448,0.41248,0.01081,0.00111414,0.00111414,0.00111414
69,6005.07,0.55315,0.37622,0.0058,0.86079,0.94207,0.92649,0.78654,0.67803,0.44546,0.01391,0.00110589,0.00110589,0.00110589
70,6089.2,0.55535,0.37203,0.00644,0.8779,0.94626,0.91017,0.78615,0.59827,0.4736,0.01119,0.00109764,0.00109764,0.00109764
71,6172.09,0.58183,0.38171,0.00689,0.84905,0.97364,0.95101,0.80992,0.68625,0.40633,0.01498,0.00108938,0.00108938,0.00108938
72,6255.85,0.56036,0.38912,0.00597,0.89429,0.95996,0.91852,0.80504,0.60974,0.39194,0.01096,0.00108113,0.00108113,0.00108113
73,6338.54,0.52491,0.34867,0.00567,0.87896,0.97407,0.93187,0.80174,0.63554,0.40926,0.0118,0.00107288,0.00107288,0.00107288
74,6422.49,0.5099,0.36103,0.00532,0.87931,0.9718,0.9137,0.78122,0.65412,0.43554,0.01016,0.00106463,0.00106463,0.00106463
75,6505.58,0.524,0.34872,0.0051,0.87486,0.98267,0.93863,0.81136,0.63851,0.37001,0.01205,0.00105638,0.00105638,0.00105638
76,6590.34,0.50415,0.34493,0.00509,0.87704,0.96839,0.92504,0.78225,0.69674,0.41176,0.01416,0.00104813,0.00104813,0.00104813
77,6673.15,0.52165,0.34362,0.00513,0.89453,0.97866,0.92778,0.80212,0.59263,0.37285,0.00995,0.00103987,0.00103987,0.00103987
78,6757.77,0.49603,0.36479,0.0051,0.87,0.97937,0.93268,0.80322,0.64059,0.41684,0.01122,0.00103162,0.00103162,0.00103162
79,6840.42,0.52997,0.36293,0.00539,0.89731,0.96127,0.92332,0.78755,0.67385,0.41676,0.01007,0.00102337,0.00102337,0.00102337
80,6924.13,0.50725,0.34655,0.00534,0.89877,0.97256,0.91751,0.7934,0.62704,0.36938,0.01051,0.00101512,0.00101512,0.00101512
81,7006.82,0.54799,0.35203,0.00629,0.88011,0.98327,0.90778,0.78022,0.63017,0.44688,0.01042,0.00100687,0.00100687,0.00100687
82,7091.44,0.53352,0.36313,0.00561,0.89487,0.96142,0.92597,0.80485,0.60411,0.37865,0.01075,0.000998616,0.000998616,0.000998616
83,7174.35,0.51503,0.34879,0.0054,0.87305,0.94596,0.90885,0.79929,0.57783,0.44463,0.0106,0.000990365,0.000990365,0.000990365
84,7258.76,0.53769,0.36311,0.00577,0.88252,0.96951,0.91035,0.75282,0.76143,0.46326,0.01428,0.000982113,0.000982113,0.000982113
85,7341.66,0.5028,0.35613,0.00541,0.87822,0.97558,0.90702,0.76985,0.63068,0.49391,0.01094,0.000973861,0.000973861,0.000973861
86,7426.09,0.53448,0.34802,0.00528,0.88049,0.98784,0.91392,0.75571,0.76133,0.40841,0.01375,0.00096561,0.00096561,0.00096561
87,7508.66,0.51014,0.34326,0.00508,0.87949,0.96037,0.94239,0.80607,0.64979,0.48104,0.01031,0.000957358,0.000957358,0.000957358
88,7592.96,0.48022,0.33396,0.00474,0.87441,0.97336,0.91982,0.79317,0.63383,0.49565,0.0106,0.000949106,0.000949106,0.000949106
89,7674.95,0.50645,0.33521,0.00495,0.86564,0.98232,0.92353,0.79752,0.61333,0.39171,0.01017,0.000940855,0.000940855,0.000940855
90,7757.83,0.4834,0.30154,0.00475,0.88925,0.96646,0.91074,0.78797,0.57859,0.43415,0.00914,0.000932603,0.000932603,0.000932603
91,7839.81,0.50314,0.31947,0.00536,0.89647,0.9717,0.91821,0.79948,0.61268,0.40356,0.00915,0.000924352,0.000924352,0.000924352
92,7924.28,0.50873,0.33464,0.00531,0.8946,0.98171,0.92615,0.80322,0.61607,0.3651,0.00985,0.0009161,0.0009161,0.0009161
93,8007.04,0.49328,0.33675,0.00495,0.8807,0.97616,0.92018,0.78447,0.63155,0.36259,0.00957,0.000907848,0.000907848,0.000907848
94,8092.04,0.48768,0.29665,0.00489,0.86868,0.89669,0.91681,0.7978,0.51961,0.46675,0.00809,0.000899597,0.000899597,0.000899597
95,8174.04,0.50714,0.3127,0.00492,0.89232,0.98281,0.90719,0.80227,0.56528,0.39343,0.0087,0.000891345,0.000891345,0.000891345
96,8258.69,0.49631,0.28987,0.00469,0.9033,0.97256,0.91081,0.78273,0.65668,0.43397,0.00948,0.000883093,0.000883093,0.000883093
97,8340.45,0.50951,0.31372,0.00477,0.89792,0.96545,0.90684,0.78055,0.59625,0.41284,0.0108,0.000874842,0.000874842,0.000874842
98,8424.65,0.48855,0.30769,0.00484,0.87538,0.96951,0.91466,0.77565,0.60182,0.42695,0.00909,0.00086659,0.00086659,0.00086659
99,8507.4,0.46741,0.32966,0.00446,0.89692,0.97192,0.91079,0.80179,0.54667,0.38967,0.0089,0.000858338,0.000858338,0.000858338
100,8591.38,0.49806,0.32468,0.0049,0.90032,0.97937,0.91523,0.80361,0.5815,0.3498,0.00991,0.000850087,0.000850087,0.000850087
101,8674.08,0.47142,0.32297,0.00466,0.89634,0.96951,0.91595,0.79507,0.60918,0.38854,0.00862,0.000841835,0.000841835,0.000841835
102,8756.34,0.47616,0.30553,0.00473,0.89452,0.94817,0.91863,0.81376,0.57502,0.43259,0.00861,0.000833583,0.000833583,0.000833583
103,8838.89,0.48791,0.32277,0.00468,0.88827,0.98048,0.92706,0.81013,0.58003,0.39696,0.01022,0.000825332,0.000825332,0.000825332
104,8923.15,0.4899,0.32185,0.00473,0.88569,0.95535,0.91066,0.82162,0.55005,0.40852,0.0089,0.00081708,0.00081708,0.00081708
105,9005.87,0.44876,0.29895,0.00434,0.89159,0.96952,0.91383,0.80551,0.54159,0.48188,0.00799,0.000808828,0.000808828,0.000808828
106,9090.07,0.47774,0.32016,0.00468,0.86634,0.97866,0.90583,0.79016,0.5895,0.44673,0.0095,0.000800577,0.000800577,0.000800577
107,9172.52,0.46813,0.31229,0.00483,0.87349,0.95234,0.90449,0.78825,0.63661,0.45448,0.01047,0.000792325,0.000792325,0.000792325
108,9257.04,0.48564,0.32721,0.00482,0.89918,0.96899,0.91215,0.8046,0.56396,0.4471,0.00876,0.000784073,0.000784073,0.000784073
109,9339.84,0.46509,0.31534,0.00452,0.90333,0.9632,0.91336,0.79433,0.60392,0.38783,0.00872,0.000775822,0.000775822,0.000775822
110,9423.86,0.46649,0.2969,0.00459,0.88057,0.97866,0.92191,0.81922,0.56761,0.40726,0.00997,0.00076757,0.00076757,0.00076757
