epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1504.34,0.57472,0.47556,0.94578,0.87011,0.98192,0.94166,0.73446,0.9479,0.569,0.66225,0.00132868,0.00132868,0.00132868
43,1539.74,0.52099,0.4526,0.94553,0.88507,0.99085,0.92058,0.71043,0.9448,0.55182,0.65238,0.00132043,0.00132043,0.00132043
44,1575.07,0.54591,0.4371,0.93449,0.89267,0.97705,0.93187,0.70569,0.95658,0.56565,0.65456,0.00131218,0.00131218,0.00131218
45,1610.37,0.58522,0.48181,0.95636,0.85396,0.98981,0.91118,0.70097,0.94055,0.55269,0.65442,0.00130393,0.00130393,0.00130393
46,1644.87,0.57585,0.47591,0.9408,0.89533,0.98476,0.91444,0.67433,1.0335,0.5532,0.72881,0.00129568,0.00129568,0.00129568
47,1680.19,0.55155,0.45977,0.93738,0.87589,0.94515,0.92103,0.69731,0.97826,0.59782,0.65645,0.00128742,0.00128742,0.00128742
48,1711.14,0.54789,0.45524,0.95018,0.88479,0.98918,0.9201,0.70393,0.94842,0.54612,0.67086,0.00127917,0.00127917,0.00127917
49,1749.46,0.5755,0.44996,0.94758,0.85682,0.99695,0.91453,0.70305,0.96118,0.61271,0.65277,0.00127092,0.00127092,0.00127092
50,1784.03,0.55824,0.44387,0.93474,0.89424,0.98408,0.91348,0.69097,0.96181,0.55506,0.68194,0.00126267,0.00126267,0.00126267
51,1819.42,0.53646,0.42301,0.93387,0.89229,0.98476,0.91423,0.69861,0.94602,0.51597,0.64478,0.00125442,0.00125442,0.00125442
52,1854.52,0.52597,0.41909,0.93219,0.873,0.9878,0.90902,0.68761,0.98139,0.54534,0.6693,0.00124617,0.00124617,0.00124617
53,1890,0.53883,0.42727,0.91502,0.87449,0.98469,0.94712,0.71483,1.01136,0.5446,0.68136,0.00123791,0.00123791,0.00123791
54,1924.6,0.54652,0.42867,0.93002,0.88788,0.98476,0.91963,0.66155,1.04477,0.54114,0.69954,0.00122966,0.00122966,0.00122966
55,1960.44,0.55484,0.42815,0.92735,0.87384,0.98734,0.92199,0.69049,1.00666,0.53963,0.67387,0.00122141,0.00122141,0.00122141
56,1995.35,0.54694,0.43711,0.93109,0.86943,0.98476,0.9165,0.69008,0.99222,0.54347,0.6674,0.00121316,0.00121316,0.00121316
57,2030.62,0.56058,0.43989,0.93819,0.85962,0.98477,0.91663,0.70068,0.97477,0.54009,0.64417,0.00120491,0.00120491,0.00120491
58,2065.11,0.53957,0.43225,0.93503,0.89002,0.9878,0.91704,0.68316,1.01624,0.53168,0.66533,0.00119666,0.00119666,0.00119666
59,2100.66,0.54605,0.42147,0.92138,0.88119,0.9878,0.92569,0.69741,1.00178,0.51855,0.68953,0.0011884,0.0011884,0.0011884
60,2131.93,0.52828,0.40273,0.92865,0.89626,0.9878,0.91658,0.70208,0.94633,0.52486,0.65027,0.00118015,0.00118015,0.00118015
61,2170.47,0.51821,0.40223,0.91666,0.88217,0.98861,0.92401,0.7069,0.96681,0.54545,0.67541,0.0011719,0.0011719,0.0011719
62,2205,0.55892,0.41785,0.93263,0.88995,0.99085,0.92809,0.70968,0.94308,0.49712,0.68555,0.00116365,0.00116365,0.00116365
63,2240.24,0.53813,0.40628,0.91896,0.90173,0.98171,0.92525,0.71211,0.9402,0.49136,0.67459,0.0011554,0.0011554,0.0011554
64,2275.38,0.50533,0.3929,0.92118,0.90073,0.98171,0.91181,0.68689,0.99203,0.52643,0.68413,0.00114715,0.00114715,0.00114715
65,2310.67,0.51726,0.40028,0.92603,0.84637,0.95122,0.90568,0.69148,0.94645,0.56113,0.67889,0.00113889,0.00113889,0.00113889
66,2345.32,0.53344,0.42296,0.91358,0.89227,0.9878,0.94348,0.70668,0.99343,0.56595,0.66979,0.00113064,0.00113064,0.00113064
67,2381.24,0.52868,0.42035,0.92162,0.88973,0.98476,0.92713,0.71606,0.96797,0.53945,0.65842,0.00112239,0.00112239,0.00112239
68,2417.21,0.53536,0.43703,0.92803,0.88632,0.98476,0.9278,0.71284,0.98184,0.54712,0.65714,0.00111414,0.00111414,0.00111414
69,2453.09,0.50791,0.40784,0.91794,0.88879,0.9878,0.91445,0.70277,0.94987,0.52473,0.66392,0.00110589,0.00110589,0.00110589
70,2487.93,0.51967,0.4077,0.91684,0.89247,0.99085,0.91982,0.69543,0.95554,0.53507,0.70307,0.00109764,0.00109764,0.00109764
71,2524.31,0.52528,0.40443,0.91309,0.87341,0.99695,0.93883,0.71824,0.95046,0.54747,0.65787,0.00108938,0.00108938,0.00108938
72,2560.1,0.52359,0.41095,0.91607,0.87699,0.99085,0.93802,0.71019,0.98234,0.54201,0.64483,0.00108113,0.00108113,0.00108113
73,2596.02,0.4914,0.38544,0.92443,0.89242,0.96526,0.92575,0.67998,1.03986,0.5498,0.68178,0.00107288,0.00107288,0.00107288
74,2630.51,0.53484,0.39831,0.92644,0.9031,0.97731,0.9202,0.68496,1.03185,0.50751,0.6693,0.00106463,0.00106463,0.00106463
