epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,320.67,0.45895,0.36616,0.90751,0.98795,0.99778,0.98966,0.89657,0.46633,0.31628,0.9446,0.000990365,0.000990365,0.000990365
43,327.593,0.46626,0.34894,0.91127,0.88395,0.98283,0.95648,0.87331,0.46248,0.39537,0.92925,0.000973861,0.000973861,0.000973861
44,334.577,0.45997,0.34903,0.89669,0.95239,0.9909,0.98607,0.88432,0.47254,0.36028,0.93044,0.000957358,0.000957358,0.000957358
45,341.653,0.44531,0.34863,0.89146,0.98745,0.99769,0.98942,0.88941,0.47957,0.36039,0.94282,0.000940855,0.000940855,0.000940855
46,348.744,0.46253,0.38084,0.90144,0.98708,0.99889,0.99107,0.8939,0.47216,0.36957,0.92625,0.000924352,0.000924352,0.000924352
47,355.614,0.47709,0.37045,0.90266,0.98499,0.99899,0.99107,0.90558,0.46472,0.32406,0.93114,0.000907848,0.000907848,0.000907848
48,362.51,0.45223,0.35859,0.9073,0.96518,0.98997,0.98954,0.89289,0.46516,0.36223,0.94059,0.000891345,0.000891345,0.000891345
49,369.501,0.46569,0.35691,0.89746,0.98498,0.99937,0.98961,0.89363,0.46785,0.31033,0.93204,0.000874842,0.000874842,0.000874842
50,376.439,0.45613,0.35331,0.89487,0.98639,0.99769,0.98857,0.87445,0.49561,0.30547,0.94616,0.000858338,0.000858338,0.000858338
51,383.568,0.47059,0.3617,0.90906,0.9845,0.99886,0.99019,0.90509,0.44095,0.30396,0.934,0.000841835,0.000841835,0.000841835
52,390.462,0.45471,0.3512,0.89809,0.98843,0.99789,0.98979,0.90025,0.43958,0.3015,0.92381,0.000825332,0.000825332,0.000825332
53,397.49,0.44597,0.34461,0.8945,0.98673,0.99889,0.99037,0.9006,0.45728,0.2773,0.93184,0.000808828,0.000808828,0.000808828
54,404.395,0.46018,0.34258,0.89983,0.98881,0.9988,0.99,0.89549,0.4923,0.31026,0.9402,0.000792325,0.000792325,0.000792325
55,411.41,0.44651,0.36567,0.89924,0.98828,0.9997,0.98889,0.89683,0.45317,0.29924,0.92962,0.000775822,0.000775822,0.000775822
56,418.36,0.47285,0.3704,0.93486,0.98903,0.99943,0.99046,0.91931,0.41903,0.2863,0.91685,0.000759318,0.000759318,0.000759318
57,425.394,0.44217,0.33549,0.88953,0.98763,0.99885,0.98883,0.90501,0.44745,0.287,0.94015,0.000742815,0.000742815,0.000742815
58,432.292,0.44136,0.33416,0.89421,0.98838,0.99778,0.98951,0.90484,0.46088,0.2796,0.92988,0.000726312,0.000726312,0.000726312
59,439.23,0.4387,0.32607,0.89171,0.97488,0.98736,0.98969,0.90435,0.458,0.28878,0.94393,0.000709809,0.000709809,0.000709809
60,446.496,0.42644,0.31715,0.89043,0.98741,0.99778,0.99,0.91852,0.40686,0.28638,0.91824,0.000693305,0.000693305,0.000693305
61,453.466,0.43303,0.33939,0.89146,0.98762,0.99901,0.99043,0.91477,0.431,0.29804,0.92191,0.000676802,0.000676802,0.000676802
62,460.438,0.42614,0.32076,0.88648,0.98657,0.99889,0.99116,0.90973,0.42494,0.27141,0.92363,0.000660299,0.000660299,0.000660299
63,467.328,0.41443,0.32984,0.888,0.98825,0.99863,0.99062,0.9088,0.43301,0.27926,0.93436,0.000643795,0.000643795,0.000643795
64,474.239,0.41529,0.33062,0.88316,0.9886,0.99889,0.99055,0.91898,0.42138,0.28778,0.92088,0.000627292,0.000627292,0.000627292
65,481.183,0.42369,0.34384,0.89048,0.98899,0.99974,0.98937,0.90931,0.45066,0.27605,0.93542,0.000610789,0.000610789,0.000610789
66,488.046,0.42841,0.32983,0.90572,0.98855,0.99889,0.98971,0.91813,0.42097,0.26721,0.9267,0.000594286,0.000594286,0.000594286
67,495.025,0.42801,0.31685,0.89455,0.9863,0.99779,0.99042,0.91539,0.43989,0.25759,0.92905,0.000577782,0.000577782,0.000577782
68,502,0.42564,0.31919,0.89571,0.98786,0.9987,0.98926,0.92025,0.421,0.24794,0.92202,0.000561279,0.000561279,0.000561279
69,509.062,0.43594,0.31663,0.89868,0.98457,0.99889,0.98845,0.89804,0.47861,0.27797,0.91724,0.000544776,0.000544776,0.000544776
70,516.057,0.41944,0.3195,0.88533,0.98214,0.99889,0.98911,0.91495,0.41079,0.2632,0.91933,0.000528272,0.000528272,0.000528272
71,523.043,0.41386,0.32276,0.8976,0.98733,0.99889,0.9885,0.91324,0.41416,0.26562,0.91626,0.000511769,0.000511769,0.000511769
72,530.041,0.40028,0.29907,0.88489,0.98672,0.99858,0.99091,0.92153,0.39814,0.24847,0.91714,0.000495266,0.000495266,0.000495266
73,536.967,0.40784,0.30227,0.88778,0.98316,0.99889,0.99,0.92275,0.40562,0.25946,0.92282,0.000478762,0.000478762,0.000478762
74,543.952,0.41125,0.29837,0.8876,0.98694,0.99916,0.99087,0.92834,0.3942,0.23995,0.91651,0.000462259,0.000462259,0.000462259
75,551.033,0.41409,0.29981,0.88695,0.98839,0.99988,0.99043,0.92555,0.41395,0.24498,0.91464,0.000445756,0.000445756,0.000445756
76,557.954,0.41115,0.30175,0.87973,0.98835,0.99986,0.99062,0.9274,0.39295,0.24636,0.91327,0.000429253,0.000429253,0.000429253
77,564.968,0.39907,0.30523,0.87851,0.98845,0.99986,0.9907,0.92441,0.39849,0.24681,0.91237,0.000412749,0.000412749,0.000412749
78,572.045,0.39712,0.29482,0.88968,0.98825,0.99984,0.99061,0.92987,0.39405,0.24071,0.91673,0.000396246,0.000396246,0.000396246
79,579.047,0.41731,0.30492,0.89635,0.9884,0.99987,0.991,0.93187,0.39342,0.23904,0.91493,0.000379743,0.000379743,0.000379743
80,586.024,0.39496,0.28882,0.883,0.98864,0.99988,0.99118,0.92897,0.39059,0.2545,0.91303,0.000363239,0.000363239,0.000363239
81,593.004,0.39644,0.30234,0.88977,0.98828,0.99989,0.99003,0.92791,0.40538,0.24833,0.91665,0.000346736,0.000346736,0.000346736
82,599.885,0.41,0.31687,0.89123,0.98845,0.99985,0.99051,0.92416,0.41031,0.23394,0.91283,0.000330233,0.000330233,0.000330233
83,606.911,0.41132,0.30636,0.8921,0.98732,0.99985,0.99073,0.92956,0.38761,0.24862,0.91335,0.000313729,0.000313729,0.000313729
84,613.975,0.40426,0.30307,0.88507,0.98825,0.99989,0.99091,0.93575,0.38517,0.23274,0.91458,0.000297226,0.000297226,0.000297226
85,621,0.39488,0.3103,0.88107,0.98846,0.9999,0.99074,0.93305,0.37827,0.23315,0.91434,0.000280723,0.000280723,0.000280723
86,627.975,0.39724,0.29126,0.88592,0.98805,0.99975,0.99092,0.93015,0.38407,0.23603,0.91351,0.00026422,0.00026422,0.00026422
87,635.129,0.39573,0.28873,0.8855,0.98867,1,0.99086,0.9328,0.37885,0.23073,0.90921,0.000247716,0.000247716,0.000247716
88,641.982,0.39754,0.30445,0.88514,0.98874,1,0.99112,0.93131,0.38457,0.23307,0.91215,0.000231213,0.000231213,0.000231213
89,649.032,0.37047,0.28568,0.87526,0.98837,0.99986,0.99121,0.93126,0.38476,0.22472,0.91316,0.00021471,0.00021471,0.00021471
90,656.029,0.38647,0.28405,0.88935,0.98844,0.9999,0.99094,0.93392,0.38084,0.2193,0.91103,0.000198206,0.000198206,0.000198206
91,666.286,0.37753,0.27904,0.87122,0.98852,1,0.9908,0.92855,0.38884,0.23766,0.91395,0.000181703,0.000181703,0.000181703
92,673.378,0.39758,0.2487,0.86782,0.9883,0.99991,0.99096,0.92399,0.39161,0.23149,0.90936,0.0001652,0.0001652,0.0001652
93,680.285,0.38544,0.24904,0.8667,0.9886,0.99996,0.99111,0.93158,0.38142,0.21548,0.91057,0.000148696,0.000148696,0.000148696
94,687.126,0.3829,0.23575,0.86864,0.9886,0.99994,0.99134,0.93577,0.37125,0.20958,0.90793,0.000132193,0.000132193,0.000132193
95,694.015,0.40097,0.24865,0.87198,0.98845,0.99991,0.99123,0.93516,0.36853,0.21467,0.90763,0.00011569,0.00011569,0.00011569
96,700.905,0.36889,0.23321,0.85471,0.98863,0.99993,0.99141,0.93276,0.36986,0.20872,0.9072,9.91865e-05,9.91865e-05,9.91865e-05
97,707.866,0.38063,0.23312,0.8578,0.98847,0.99991,0.99116,0.93473,0.37117,0.20332,0.90913,8.26832e-05,8.26832e-05,8.26832e-05
98,714.878,0.35432,0.24879,0.8683,0.98869,0.99998,0.9911,0.93402,0.37047,0.19851,0.90908,6.61799e-05,6.61799e-05,6.61799e-05
99,722.007,0.34441,0.22245,0.85557,0.98878,1,0.99106,0.93484,0.36867,0.19934,0.90822,4.96766e-05,4.96766e-05,4.96766e-05
100,728.954,0.37197,0.24736,0.85177,0.98877,1,0.99102,0.93513,0.37014,0.19557,0.90836,3.31733e-05,3.31733e-05,3.31733e-05
